,train,val,test
71,I2016-005141 A3_BIG,,
72,I2017-008009 D3_BIG,,
73,I2016-003053 A2_BIG,,
74,I2017-3418 F4_BIG,,
75,I2014-027207 A2_BIG,,
76,I2014-031154 A2_BIG,,
77,I2014-001915 A3_BIG,,
78,I2017-21903 D1_BIG,,
79,I2017-032584 J2_BIG,,
80,I2017-040869 C1_BIG,,
81,I2017-004464 B2_BIG,,
82,I2011-9075 D2_BIG,,
83,I2016-1021 C2_BIG,,
84,I2015-022464 A1_BIG,,
85,I2017-20638 A2_BIG,,
86,I2019-018461 B1_BIG,,
87,I2016-23253 A1_BIG,,
88,I2016-16907 A5_BIG,,
89,I2016-16907 A6_BIG,,
90,I2017-006439 D3_BIG,,
91,I2019-36314 A2_BIG,,
92,I2016-22958 A1_BIG,,
93,I2017-15497 C1_BIG,,
94,I2015-13869 A2 isyntax second download_BIG,,
95,I2014-1831 F1_BIG,,
96,I2018-048167 A2_BIG,,
97,I2016-000067 B1_BIG,,
98,I2014- 27833 B1_BIG,,
99,I2016-019662 D1_BIG,,
100,I2016-019797 A4_BIG,,
101,I2015-23841 C3_BIG,,
102,I2015-014213 A4_BIG,,
103,I2015-31376 L1_BIG,,
104,I2018-26776 B2_BIG,,
105,I2016-004412 A3_BIG,,
106,I22-29956 E3_BIG,,
107,I22-25107 B1_BIG,,
108,I22-32640 B1_BIG,,
109,I22-19563 A1_BIG,,
110,I22-15657 C1_BIG,,
111,I22-14941 D1_BIG,,
112,I2021-1533 D7_BIG,,
113,I2021-34405 A1_BIG,,
114,I22-18681 E2_BIG,,
115,I2017-33166 A2_BIG,,
116,I2017-40514 D1_BIG,,
117,I2019-7026 A3_BIG,,
118,I2015-000257 A3_BIG,,
119,I2019-7023 D1_BIG,,
120,23_10222_C1,,
121,I2022-36933 B1 re-scanned_BIG,,
122,23_16654_A3,,
123,I2023_94_D2,,
124,I2023_31928_F2,,
125,53280_22_B3,,
126,49281_22_C1,,
127,42533_22_E2,,
128,17865_23_B6,,
129,2022_43095_C2,,
130,26808_23_B2,,
131,23694_23_B1,,
132,2022_26297_A3,,
133,I2023-016426 E1_BIG,,
134,I2023-027989 A1_BIG,,
135,2022-33292 C1_BIG,,
136,18-20913 A1_BIG,,
137,I2013-025426 A4_BIG,,
138,I2011-021231 A4_BIG,,
139,I2011-003696 A2_BIG,,
140,I2011-014196 A2_BIG,,
141,I2014-013166 C2_BIG,,
142,I2011-021151 B1,,
143,I2023-054132 B4_BIG,,
144,I2023-041126 E1_BIG,,
145,I2010-014100 A3_BIG,,
146,I2018-3768 C1_BIG,,
147,I2019-41139 B2_BIG,,
148,I2019-45708 B1_BIG,,
149,I2018-37034 A2_BIG,,
150,I2014-8616 C1_BIG,,
151,I2014-28524 C1_BIG,,
152,I2010-2842 F2_BIG,,
153,I2016-25955 D1_BIG,,
154,I2015-13399 A1_BIG,,
155,I2014-14781 A2_BIG,,
156,I20-9230 A1_BIG,,
157,I2015-31227 A3_BIG,,
158,I2018-33924 A1_BIG,,
159,I2013-637 A1_BIG,,
160,I2012-12704 A3_BIG,,
161,I14-23768 A3_BIG,,
162,I2014-16780 B1_BIG,,
163,I2019-9590 A1_BIG,,
164,I2017-16918 B1_BIG,,
165,I2016-33372 A2_BIG,,
166,I2014-002167 A3_BIG,,
167,I2017-31666 B1_BIG,,
168,I2016-18012 B2_BIG,,
169,I2018-34533 A3_BIG,,
170,I2018-25366 A1_BIG,,
171,I2016-18630 A7_BIG,,
172,I22-22876 A3_BIG,,
